URN,LANAME,SCHNAME,OFSTEDRATING,STREET,LOCALITY,TOWN,ISPRIMARY,ISSECONDARY,ISPOST16,GENDER
100054,Camden,The Camden School for Girls,Good,Sandall Road,,London,0,1,1,Girls
100055,Camden,Maria Fidelis Catholic School FCJ,Good,1 - 39 Drummond Crescent,,London,0,1,1,Mixed
100056,Camden,William Ellis School,Requires improvement,Highgate Road,,London,0,1,1,Boys
100059,Camden,La Sainte Union Catholic Secondary School,Good,Highgate Road,,London,0,1,1,Girls
100061,Camden,St Christopher's School,,32 Belsize Lane,,London,1,0,0,Girls
100062,Camden,St Margaret's School,,18 Kidderpore Gardens,,London,1,1,0,Girls
100063,Camden,Sarum Hall School,,15 Eton Avenue,,London,1,0,0,Girls
100064,Camden,The Hall School,,23 Crossfield Road,Hampstead,London,1,1,0,Boys
100065,Camden,University College School,,Frognal,Hampstead,London,1,1,1,Mixed
100066,Camden,The Cavendish School,,31 Inverness Street,,London,1,0,0,Girls
100068,Camden,North Bridge House Nursery & Pre-Prep Schools,,8 Netherhall Gardens,,London,1,0,0,Mixed
100069,Camden,Hereward House School,,14 Strathray Gardens,,London,1,1,0,Boys
100072,Camden,Lyndhurst House Preparatory School,,24 Lyndhurst Gardens,Hampstead,London,1,1,0,Boys
100073,Camden,Hampstead Hill School,,St Stephen's,Pond Street,London,1,0,0,Mixed
100075,Camden,Trevor-Roberts School,,55-57 Eton Avenue,,London,1,1,0,Mixed
100076,Camden,South Hampstead High School,,3 Maresfield Gardens,,London,1,1,1,Girls
100077,Camden,The Village School,,2 Parkhill Road,Belsize Park,London,1,1,0,Girls
100078,Camden,Heathside Preparatory School,,84A Heath Street,Hampstead,London,1,1,0,Mixed
100080,Camden,Devonshire House Preparatory School,,2,Arkwright road,London,1,1,0,Mixed
100081,Camden,Broadhurst School,,19 Greencroft Gardens,,London,1,0,0,Mixed
100082,Camden,College Francais Bilingue De Londres,Good,87 Holmes Road,,London,1,1,0,Mixed
100084,Camden,Fine Arts College,,Centre Studios,41-43 Englands Lane,London,0,1,1,Mixed
100087,Camden,The Mulberry House School,,7 Minster Road,,London,1,0,0,Mixed
100090,Camden,Southbank International School Hampstead,,16 Netherhall Gardens,,London,1,0,0,Mixed
100091,Camden,Frank Barnes School for Deaf Children,Outstanding,4 Wollstonecraft Street,Kings Cross,London,1,0,0,Mixed
100092,Camden,Harmood School,Good,Harmood Street,Camden,London,0,1,0,Mixed
100096,Camden,Swiss Cottage School - Development & Research Centre,Outstanding,80 Avenue Road,,London,1,1,1,Mixed
100113,Greenwich,Bannockburn Primary School,Outstanding,Plumstead High Street,,London,1,0,0,Mixed
100114,Greenwich,Morden Mount Primary School,Good,Lewisham Road,,London,1,0,0,Mixed
100115,Greenwich,Cherry Orchard Primary School,Good,Rectory Field Crescent,Marlborough Lane,London,1,0,0,Mixed
100120,Greenwich,Ealdham Primary School,Good,Ealdham Square,Eltham,London,1,0,0,Mixed
100125,Greenwich,Fossdene Primary School,Good,Victoria Way,Charlton,London,1,0,0,Mixed
100126,Greenwich,Gallions Mount Primary School,Good,Purrett Road,Plumstead,London,1,0,0,Mixed
100127,Greenwich,Gordon Primary School,Good,Grangehill Road,Eltham,London,1,0,0,Mixed
100129,Greenwich,Haimo Primary School,Good,Haimo Road,Eltham,London,1,0,0,Mixed
100131,Greenwich,Henwick Primary School,Good,Henwick Road,Eltham,London,1,0,0,Mixed
100134,Greenwich,Invicta Primary School,Good,Invicta Road,Greenwich,London,1,0,0,Mixed
100136,Greenwich,Kidbrooke Park Primary School,Good,202a Holburne Road,,London,1,0,0,Mixed
100137,Greenwich,Meridian Primary School,Good,Old Woolwich Road,Greenwich,London,1,0,0,Mixed
100140,Greenwich,Plumcroft Primary School,Good,Plum Lane,Plumstead,London,1,0,0,Mixed
100141,Greenwich,Sherington Primary School,Good,Wyndcliff Road,Charlton,London,1,0,0,Mixed
100142,Greenwich,Thorntree Primary School,Good,Thorntree Road,Charlton,London,1,0,0,Mixed
100146,Greenwich,Wyborne Primary School,Good,Footscray Road,New Eltham,London,1,0,0,Mixed
100149,Greenwich,Montbelle Primary School,Good,Milverton Way,Eltham,London,1,0,0,Mixed
100152,Greenwich,De Lucy Primary School,Good,Cookhill Road,Abbey Wood,London,1,0,0,Mixed
100155,Greenwich,Cardwell Primary School,Outstanding,118 Frances Street,Woolwich,London,1,0,0,Mixed
100158,Greenwich,Heronsgate Primary School,Outstanding,Whinchat Road,,London,1,0,0,Mixed
100159,Greenwich,Linton Mead Primary School,Good,Central Way,Thamesmead,London,1,0,0,Mixed
100162,Greenwich,Greenslade Primary School,Good,Erindale,Plumstead Common,London,1,0,0,Mixed
100163,Greenwich,Mulgrave Primary School,Good,Rectory Place,Woolwich,London,1,0,0,Mixed
100164,Greenwich,Charlton Manor Primary School,Good,Indus Road,,London,1,0,0,Mixed
100165,Greenwich,Christ Church Church of England Primary School,Good,45 Commerell Street,Greenwich,London,1,0,0,Mixed
100166,Greenwich,"Christ Church Church of England Primary School, Shooters Hill",Good,Shooters Hill,,London,1,0,0,Mixed
100167,Greenwich,Eltham Church of England Primary School,Good,Roper Street,Eltham,London,1,0,0,Mixed
100168,Greenwich,Our Lady of Grace Catholic Primary School,Outstanding,16 Highcombe,Charlton,London,1,0,0,Mixed
100169,Greenwich,St Joseph's Catholic Primary School,Good,Commerell Street,Greenwich,London,1,0,0,Mixed
100170,Greenwich,St Margaret's Church of England Primary School,Good,St Margaret's Grove,Plumstead,London,1,0,0,Mixed
100171,Greenwich,Saint Mary Magdalene Church of England All Through School,Good,Kingsman Street,,London,1,1,1,Mixed
100173,Greenwich,St Patrick's Catholic Primary School,Good,"St Patrick's Catholic Primary School,Griffin Road",Plumstead,London,1,0,0,Mixed
100174,Greenwich,St Alfege with St Peter's Church of England Primary School,Good,Creek Road,Greenwich,London,1,0,0,Mixed
100175,Greenwich,St Peter's Catholic Primary School,Outstanding,Crescent Road,,London,1,0,0,Mixed
100176,Greenwich,St Thomas More Catholic Primary School,Good,Appleton Road,Eltham,London,1,0,0,Mixed
100177,Greenwich,St Thomas A Becket Roman Catholic Primary School,Good,Mottisfont Road,Abbey Wood,London,1,0,0,Mixed
100178,Greenwich,Holy Family Catholic Primary School,Requires improvement,Tudway Road,Kidbrooke,London,1,0,0,Mixed
100179,Greenwich,Notre Dame Catholic Primary School,Good,169 Eglinton Road,,London,1,0,0,Mixed
100180,Greenwich,St Margaret Clitherow Catholic Primary School,Good,Cole Close,Thamesmead,London,1,0,0,Mixed
100181,Greenwich,Bishop John Robinson Church of England Primary School,Good,Hoveton Road,Thamesmead,London,1,0,0,Mixed
100182,Greenwich,Eltham Hill School,Good,Eltham Hill,,London,0,1,1,Girls
100183,Greenwich,Plumstead Manor School,Requires improvement,Old Mill Road,,London,0,1,1,Mixed
100190,Greenwich,Thomas Tallis School,Good,Kidbrooke Park Road,,London,0,1,1,Mixed
100193,Greenwich,St Ursula's Convent School,Requires improvement,Crooms Hill,Greenwich,London,0,1,0,Girls
100198,Greenwich,The Pointer School,,19 Stratheden Road,Blackheath,London,1,0,0,Mixed
100199,Greenwich,Blackheath Prep,,4 St German's Place,Blackheath,London,1,0,0,Mixed
100200,Greenwich,Riverston School,,63-69 Eltham Road,Lee Green,London,1,1,1,Mixed
100201,Greenwich,St Olave's Prep School,,106-110 Southwood Road,New Eltham,London,1,0,0,Mixed
100202,Greenwich,Colfe's School,,Horn Park Lane,Lee,London,1,1,1,Mixed
100203,Lewisham,Heath House Preparatory School,,37 Wemyss Road,Blackheath,London,1,0,0,Mixed
100204,Greenwich,King's Oak School,Good,Eltham Palace Road,Eltham,London,0,1,0,Boys
100218,Hackney,Berger Primary School,Good,Anderson Road,Hackney,London,1,0,0,Mixed
100221,Hackney,Colvestone Primary School,Good,Colvestone Crescent,Hackney,London,1,0,0,Mixed
100223,Hackney,Daubeney Primary School,Good,Daubeney Road,Clapton,London,1,0,0,Mixed
100224,Hackney,De Beauvoir Primary School,Good,Beechwood Road,,London,1,0,0,Mixed
100225,Hackney,Gainsborough Primary School,Good,Berkshire Road,,London,1,0,0,Mixed
100229,Hackney,Lauriston School,Good,Rutland Road,,London,1,0,0,Mixed
100230,Hackney,London Fields Primary School,Outstanding,Westgate Street,Hackney,London,1,0,0,Mixed
100231,Hackney,Millfields Community School,Good,Hilsea Street,Hackney,London,1,0,0,Mixed
100232,Hackney,Morningside Primary School,Outstanding,Chatham Place,Hackney,London,1,0,0,Mixed
100234,Hackney,Orchard Primary School,Good,Holcroft Road,Hackney,London,1,0,0,Mixed
100235,Hackney,Queensbridge Primary School,Outstanding,Queensbridge Road,Haggerston,London,1,0,0,Mixed
100236,Hackney,Randal Cremer Primary School,Good,Ormsby Street,Shoreditch,London,1,0,0,Mixed
100239,Hackney,Princess May Primary School,Good,Princess May Road,,London,1,0,0,Mixed
100240,Hackney,Sebright School,Outstanding,Audrey Street,Goldsmiths Row,London,1,0,0,Mixed
100241,Hackney,Shacklewell Primary School,Outstanding,Shacklewell Row,Hackney,London,1,0,0,Mixed
100243,Hackney,Thomas Fairchild Community School,Good,Forston Street,Hoxton,London,1,0,0,Mixed
100244,Hackney,Oldhill Community School,Good,Oldhill Street,,London,1,0,0,Mixed
100245,Hackney,Shoreditch Park Primary School,Outstanding,Bridport Place,,London,1,0,0,Mixed
100248,Hackney,Woodberry Down Community Primary School,Good,Woodberry Grove,Finsbury Park,London,1,0,0,Mixed
100250,Hackney,Kingsmead Primary School,Outstanding,Kingsmead Way,,London,1,0,0,Mixed
100251,Hackney,Sir Thomas Abney School,Good,Fairholt Road,Stoke Newington,London,1,0,0,Mixed
100252,Hackney,Grasmere Primary School,Good,92 Albion Road,,London,1,0,0,Mixed
100253,Hackney,Jubilee Primary School,Good,Filey Avenue,,London,1,0,0,Mixed
100254,Hackney,Nightingale Primary School,Good,Tiger Way,Hackney,London,1,0,0,Mixed
100255,Hackney,Baden-Powell School,Good,Ferron Road,,London,1,0,0,Mixed
100256,Hackney,Harrington Hill Primary School,Good,Mount Pleasant Lane,,London,1,0,0,Mixed
100257,Hackney,Holmleigh Primary School,Outstanding,Dunsmure Road,,London,1,0,0,Mixed
100258,Hackney,Grazebrook Primary School,Outstanding,Grazebrook Primary School,Lordship Road,London,1,0,0,Mixed
100260,Hackney,Benthal Primary School,Good,Benthal Road,Hackney,London,1,0,0,Mixed
100261,Hackney,Mandeville Primary School,Outstanding,Oswald Street,Hackney,London,1,0,0,Mixed
100263,Hackney,Holy Trinity Church of England Primary School,Good,Beechwood Road,,London,1,0,0,Mixed
100264,Hackney,Our Lady and St Joseph Catholic Primary School,Outstanding,Buckingham Road,Hackney,London,1,0,0,Mixed
100266,Hackney,St John the Baptist Voluntary Aided Church of England Primary School,Outstanding,Crondall Street,,London,1,0,0,Mixed
100267,Hackney,St Matthias Church of England Primary School,Good,Wordsworth Road,,London,1,0,0,Mixed
100268,Hackney,St Monica's Roman Catholic Primary School,Good,43 Hoxton Street,,London,1,0,0,Mixed
100270,Hackney,St John of Jerusalem Church of England Primary School,Good,Kingshold Road,,London,1,0,0,Mixed
100271,Hackney,"St Mary's Church of England Primary School, Stoke Newington",Good,Barn Street,Stoke Newington,London,1,0,0,Mixed
100274,Hackney,St Scholastica's Catholic Primary School,Good,Kenninghall Road,,London,1,0,0,Mixed
100275,Hackney,Simon Marks Jewish Primary School,Good,75 Cazenove Road,Stoke Newington,London,1,0,0,Mixed
100277,Hackney,Haggerston School,Good,Weymouth Terrace,Hackney,London,0,1,1,Mixed
100279,Hackney,Stoke Newington School and Sixth Form,Good,Clissold Road,,London,0,1,1,Mixed
100282,Hackney,All Saints Catholic High School,Good,6-16 Amhurst Park,Stamford Hill,London,0,1,1,Girls
100284,Hackney,The Urswick School - A Church of England Secondary School,Good,Paragon Road,Hackney,London,0,1,1,Mixed
100285,Hackney,Cardinal Pole Catholic School,Good,205 Morning Lane,Hackney,London,0,1,1,Mixed
100287,Hackney,Yesodey Hatorah School,Requires improvement,2-4 Amhurst Park,Hackney,London,1,1,0,Boys
100289,Hackney,Talmud Torah Yetev Lev,Inadequate,111-115 Cazenove Road,,London,1,0,0,Boys
100291,Hackney,Bnois Jerusalem Girls School,Requires improvement,"71, 75-81 Amhurst Park",,London,1,1,0,Girls
100293,Hackney,Beis Rochel d'Satmar Girls' School,Requires improvement,51-57 Amhurst Park,,London,1,1,1,Mixed
100294,Hackney,Talmud Torah Machzikei Hadass School,Inadequate,1 Belz Terrace,Clapton Common,London,1,0,0,Boys
100296,Hackney,Talmud Torah Chaim Meirim Wiznitz School,Inadequate,26 Lampard Grove,,London,1,1,0,Boys
100299,Hackney,T T T Y Y School,Inadequate,14 Heathland Road,London,London,1,1,0,Boys
100300,Hackney,Tayyibah Girls' School,Good,88 Filey Avenue,Stamford Hill,London,1,1,1,Girls
100303,Tower Hamlets,River House Montessori School,,Unit C Great Eastern Enterprise Centre,3 Millharbour,London,1,1,0,Mixed
100307,Hackney,Stormont House School,Outstanding,Downs Park Road,,London,0,1,1,Mixed
100311,Hackney,The Garden School,Outstanding,Wordsworth Road,,London,1,1,1,Mixed
100312,Hackney,Ickburgh School,Good,Kenworthy Road,Hackney,London,1,1,1,Mixed
100321,Hammersmith and Fulham,Addison Primary School,Good,Addison Gardens,Blythe Road,London,1,0,0,Mixed
100322,Hammersmith and Fulham,Avonmore Primary School,Outstanding,Avonmore Road,,London,1,0,0,Mixed
100324,Hammersmith and Fulham,Brackenbury Primary School,Good,Dalling Road,Hammersmith,London,1,0,0,Mixed
100326,Hammersmith and Fulham,Miles Coverdale Primary School,Outstanding,Coverdale Road,Shepherds Bush,London,1,0,0,Mixed
100328,Hammersmith and Fulham,Flora Gardens Primary School,Good,34 Lena Gardens,,London,1,0,0,Mixed
100331,Hammersmith and Fulham,Kenmont Primary School,Good,"Kenmont Primary School, Valliere Road",,London,1,0,0,Mixed
100334,Hammersmith and Fulham,Melcombe Primary School,Good,Fulham Palace Road,,London,1,0,0,Mixed
100335,Hammersmith and Fulham,Old Oak Primary School,Good,Mellitus Street,East Acton,London,1,0,0,Mixed
100340,Hammersmith and Fulham,Wendell Park Primary School,Good,Cobbold Road,,London,1,0,0,Mixed
100341,Hammersmith and Fulham,Wormholt Park Primary School,Good,Bryony Road,,London,1,0,0,Mixed
100344,Hammersmith and Fulham,All Saints CofE Primary School,Good,Bishops Avenue,Fulham,London,1,0,0,Mixed
100345,Hammersmith and Fulham,Holy Cross RC School,Good,Basuto Road,,London,1,0,0,Mixed
100346,Hammersmith and Fulham,John Betts Primary School,Good,Paddenswick Road,,London,1,0,0,Mixed
100347,Hammersmith and Fulham,St Augustine's RC Primary School,Good,Disbrowe Road,,London,1,0,0,Mixed
100349,Hammersmith and Fulham,St John's Walham Green Church of England Primary School,Outstanding,Filmer Road,Fulham,London,1,0,0,Mixed
100350,Hammersmith and Fulham,St Mary's Catholic Primary School,Good,Masbro Road,,London,1,0,0,Mixed
100351,Hammersmith and Fulham,St Paul's CofE Primary School,Outstanding,Worlidge Street,,London,1,0,0,Mixed
100352,Hammersmith and Fulham,St Peter's Primary School,Outstanding,33 St Peter's Road,Hammersmith,London,1,0,0,Mixed
100353,Hammersmith and Fulham,St Stephen's CofE Primary School,Outstanding,Uxbridge Road,,London,1,0,0,Mixed
100354,Hammersmith and Fulham,Good Shepherd RC Primary School,Outstanding,35 Gayford Road,,London,1,0,0,Mixed
100355,Hammersmith and Fulham,St John XXIII Catholic Primary School,Outstanding,1 India Way,,London,1,0,0,Mixed
100357,Hammersmith and Fulham,St Thomas of Canterbury Catholic Primary School,Good,Estcourt Road,Fulham,London,1,0,0,Mixed
100366,Hammersmith and Fulham,St Paul's Girls' School,,Brook Green,,London,1,1,1,Girls
100369,Hammersmith and Fulham,The Godolphin and Latymer School,,Iffley Road,Hammersmith,London,1,1,1,Girls
100370,Hammersmith and Fulham,Latymer Upper School and Latymer Prep,,237 King Street,Hammersmith,London,1,1,1,Mixed
100371,Hammersmith and Fulham,Ecole Française de Londres Jacques Prévert,Outstanding,59 Brook Green,,London,1,0,0,Mixed
100373,Hammersmith and Fulham,Ravenscourt Park Preparatory School,,16 Ravenscourt Avenue,Ravenscourt Park,London,1,0,0,Mixed
100375,Hammersmith and Fulham,L'Ecole des Petits School,Outstanding,2 Hazlebury Road,,London,1,0,0,Mixed
100379,Hammersmith and Fulham,Woodlane High School,Outstanding,Du Cane Road,Hammersmith,London,0,1,0,Mixed
100381,Hammersmith and Fulham,Jack Tizard School,Outstanding,South Africa Road,,London,1,1,1,Mixed
100382,Hammersmith and Fulham,Cambridge School,Good,"61, Bryony Rd",White City,London,0,1,0,Mixed
100397,Islington,Ambler Primary School and Children's Centre,Outstanding,Blackstock Road,Finsbury Park,London,1,0,0,Mixed
100401,Islington,Copenhagen Primary School,Good,Treaty St,,London,1,0,0,Mixed
100402,Islington,Drayton Park Primary School,Good,Arvon Road,,London,1,0,0,Mixed
100403,Islington,Duncombe Primary School,Good,Sussex Way,Islington,London,1,0,0,Mixed
100405,Islington,Gillespie Primary School,Outstanding,Gillespie Road,,London,1,0,0,Mixed
100406,Islington,Grafton Primary School,Good,Eburne Road,Holloway,London,1,0,0,Mixed
100407,Islington,Hanover Primary School,Good,Noel Road,Islington,London,1,0,0,Mixed
100408,Islington,Hargrave Park Primary School,Good,51 Bredgar Road,,London,1,0,0,Mixed
100411,Islington,Laycock Primary School,Good,Laycock Street,Upper Street,London,1,0,0,Mixed
100415,Islington,Moreland Primary School,Good,Moreland Street,,London,1,0,0,Mixed
100418,Islington,Pakeman Primary School,Good,Hornsey Road,Holloway,London,1,0,0,Mixed
100422,Islington,Robert Blair School and Children's Centre,Good,Brewery Road,Islington,London,1,0,0,Mixed
100425,Islington,Thornhill Primary School,Good,Thornhill Road,Islington,London,1,0,0,Mixed
100426,Islington,Vittoria Primary School,Good,Treaty Street,,London,1,0,0,Mixed
100428,Islington,Winton Primary School,Outstanding,Killick Street,Pentonville Road,London,1,0,0,Mixed
100429,Islington,Yerbury Primary School,Outstanding,Foxham Road,Yerbury Road,London,1,0,0,Mixed
100430,Islington,Tufnell Park Primary School,Good,31 Carleton Road,,London,1,0,0,Mixed
100431,Islington,Highbury Quadrant Primary School,Requires improvement,Highbury New Park,Islington,London,1,0,0,Mixed
100432,Islington,Ashmount Primary School,Good,Crouch Hill Park,83 Crouch Hill,London,1,0,0,Mixed
100434,Islington,Prior Weston Primary School and Children's Centre,Good,101 Whitecross Street,,London,1,0,0,Mixed
100437,Islington,Sacred Heart Catholic Primary School,Good,68 Georges Road,Holloway,London,1,0,0,Mixed
100438,Islington,St John Evangelist Catholic Primary School,Good,Duncan Street,Islington High Street,London,1,0,0,Mixed
100439,Islington,St John's Upper Holloway CofE Primary School,Good,Pemberton Gardens,Upper Holloway,London,1,0,0,Mixed
100440,Islington,St John's Highbury Vale CofE Primary School,Good,Conewood Street,,London,1,0,0,Mixed
100441,Islington,St Joseph's Catholic Primary School,Outstanding,Highgate Hill,Highgate,London,1,0,0,Mixed
100442,Islington,St Jude and St Paul's CofE Primary School,Good,10 Kingsbury Road,Islington,London,1,0,0,Mixed
100443,Islington,St Luke's CofE Primary School,Good,Radnor Street,,London,1,0,0,Mixed
100444,Islington,St Mark's CofE Primary School,Good,Sussex Way,Islington,London,1,0,0,Mixed
100446,Islington,St Mary's CofE Primary School,Good,Fowler Road,Islington,London,1,0,0,Mixed
100447,Islington,St Peter and St Paul Catholic Primary School,Good,Compton Street,Goswell Road,London,1,0,0,Mixed
100448,Islington,St Andrew's (Barnsbury) Church of England Primary School,Good,Matilda Street,,London,1,0,0,Mixed
100449,Islington,St Joan of Arc RC Primary School,Good,Northolme Road,Highbury Park,London,1,0,0,Mixed
100450,Islington,Christ The King Catholic Primary School,Good,55 Tollington Park,,London,1,0,0,Mixed
100451,Islington,Blessed Sacrament RC Primary School,Good,Boadicea Street,Kings Cross,London,1,0,0,Mixed
100453,Islington,Beacon High,Good,Hilldrop Road,Islington,London,0,1,0,Mixed
100455,Islington,Highbury Fields School,Outstanding,Highbury Hill,,London,0,1,1,Girls
100457,Islington,Elizabeth Garrett Anderson School,Outstanding,Donegal Street,Islington,London,0,1,0,Girls
100458,Islington,Central Foundation Boys' School,Outstanding,Cowper Street,City Road,London,0,1,1,Boys
100459,Islington,St Aloysius RC College,Good,Hornsey Lane,Highgate,London,0,1,1,Boys
100463,City of London,Charterhouse Square School,,33-40 Charterhouse Square,,London,1,0,0,Mixed
100467,Islington,Richard Cloudesley School,Outstanding,Tudor Rose Building,1 Prebend Street,London,1,1,1,Mixed
100469,Islington,Samuel Rhodes MLD School,Outstanding,11 Highbury New Park,,London,1,1,1,Mixed
100477,Kensington and Chelsea,Ashburnham Community School,Outstanding,17 Blantyre Street,,London,1,0,0,Mixed
100478,Kensington and Chelsea,Barlby Primary School,Good,Treverton Street,North Kensington,London,1,0,0,Mixed
100479,Kensington and Chelsea,Bevington Primary School,Requires improvement,Bevington Road,,London,1,0,0,Mixed
100480,Kensington and Chelsea,Bousfield Primary School,Good,South Bolton Gardens,,London,1,0,0,Mixed
100481,Kensington and Chelsea,Colville Primary School,Outstanding,Lonsdale Road,Portobello Road,London,1,0,0,Mixed
100482,Kensington and Chelsea,Fox Primary School,Outstanding,"Fox Primary School , Kensington Place",,London,1,0,0,Mixed
100483,Kensington and Chelsea,Marlborough Primary School,Good,Draycott Avenue,,London,1,0,0,Mixed
100485,Kensington and Chelsea,Oxford Gardens Primary School,Good,Oxford Gardens,,London,1,0,0,Mixed
100486,Kensington and Chelsea,Park Walk Primary School,Good,Park Walk,King's Road,London,1,0,0,Mixed
100487,Kensington and Chelsea,Avondale Park Primary School,Good,Sirdar Road,,London,1,0,0,Mixed
100488,Kensington and Chelsea,Thomas Jones Primary School,Outstanding,St Mark's Road,,London,1,0,0,Mixed
100489,Kensington and Chelsea,Christ Church CofE Primary School,Outstanding,1 Robinson Street,,London,1,0,0,Mixed
100490,Kensington and Chelsea,Holy Trinity CofE Primary School,Good,Sedding Street,Sloane Square,London,1,0,0,Mixed
100491,Kensington and Chelsea,Oratory Roman Catholic Primary School,Outstanding,Bury Walk,Cale Street,London,1,0,0,Mixed
100492,Kensington and Chelsea,St Thomas' CofE Primary School,Outstanding,Appleford Road,North Kensington,London,1,0,0,Mixed
100493,Kensington and Chelsea,St Barnabas and St Philip's CofE Primary School,Good,58 Earls Court Road,Kensington,London,1,0,0,Mixed
100494,Kensington and Chelsea,Saint Francis of Assisi Catholic Primary School,Good,Treadgold Street,Notting Hill,London,1,0,0,Mixed
100495,Kensington and Chelsea,St Clement and St James CofE Primary School,Good,Penzance Place,,London,1,0,0,Mixed
100497,Kensington and Chelsea,St Mary Abbots CofE Primary School,Good,2 Kensington Church Court,Kensington,London,1,0,0,Mixed
100498,Kensington and Chelsea,St Cuthbert with St Matthias CofE Primary School,Good,Warwick Road,Earls Court,London,1,0,0,Mixed
100499,Kensington and Chelsea,Saint Mary's Catholic Primary School,Good,East Row,North Kensington,London,1,0,0,Mixed
100500,Kensington and Chelsea,Servite RC Primary School,Outstanding,252 Fulham Road,,London,1,0,0,Mixed
100502,Kensington and Chelsea,Saint Thomas More Language College,Good,Cadogan Street,,London,0,1,0,Mixed
100503,Kensington and Chelsea,All Saints Catholic College,Outstanding,75 St Charles Square,,London,0,1,0,Mixed
